name,address,lat,lng
"JBR Bundle Shah Alam","Lot 45, 46, 57, 58, 59 & 63, Seksyen 1, Mukim Kampung Batu Tiga, 40150 Shah Alam, Selangor",3.0768,101.5543
"JBR Bundle Subang USJ 19","RL 23, Level 2, 19 USJ City Mall, Persiaran Kewajipan, USJ 19, 47620 Subang Jaya, Selangor",3.0345,101.5896
"JBR Bundle Bandar Sri Damansara","40, Jalan Persiaran Industri, Bandar Sri Damansara, 52200 Kuala Lumpur, Selangor",3.1993,101.6047
"JBR Bundle Bangi","Evo Shopping Mall, Jalan Pusat Bandar 2, Seksyen 9, 43650 Bandar Baru Bangi, Selangor",2.9568,101.7534
"JBR Bundle Balakong","C-66-1, Jalan C180/1, Dataran C180, 43200 Cheras, Selangor",3.0355,101.7658
"JBR Bundle Telok Panglima Garang","Lot 1461, Kampung Medan, 42500 Telok Panglima Garang, Selangor",2.9103,101.4697
"JBR Bundle Kanchong Darat (Banting)","Jalan Sultan Alam Shah, Kanchong Darat, 42700 Banting, Selangor",2.7975,101.4909
"JBR Bundle Hulu Langat","3210, Batu 9, Jalan Hulu Langat, Taman Kemacahaya, 43200 Cheras, Selangor",3.0768,101.7876
"JBR Bundle Johan Setia (Klang)","Lot 104273, Tempat Revolusi Hijau Batu 5, Kampung Johan Setia, 41200 Klang, Selangor",2.9818,101.4725
"JBR Bundle Seremban Jaya","Lotus's Seremban Jaya, 70450 Seremban, Negeri Sembilan",2.6780,101.9723
"Jalan Jalan Japan 1 Shamelin Mall","Lot L3-006, Level 3, 100, Jalan 4/91, Taman Shamelin Perkasa, 56100 Cheras, Kuala Lumpur",3.1287,101.7371
"Jalan Jalan Japan AEON BiG Wangsa Maju","Lot F1-17 to F1-21, Level 1, 6, Jalan 8/27A, Seksyen 5, Wangsa Maju, 53300 Kuala Lumpur",3.2001,101.7441
"Jalan Jalan Japan The Mines Shopping Mall","Level 2, The Mines Shopping Mall, Jalan Dulang, MINES Resort City, 43300 Seri Kembangan, Selangor",3.0282,101.7181
"Jalan Jalan Japan KIPMall Bangi","2AT-01, 2nd Floor, No. 1, Jalan Medan Bangi, Off Persiaran Kemajuan, Seksyen 6, 43650 Bandar Baru Bangi, Selangor",2.9634,101.7547
"Jalan Jalan Japan Lotus's Rawang","Lot MA4, 1, Jalan Rawang, 48000 Rawang, Selangor",3.3082,101.5746
"Jalan Jalan Japan Star Avenue Lifestyle Mall","Unit L3-26, L3-27 & LC3-01 to LC3-22, Level 3, No. 3, Jalan Zuhal U5/179, Seksyen U5, 40150 Shah Alam, Selangor",3.1611,101.5284
"Jalan Jalan Japan Summit USJ","Level 3, Summit USJ, Persiaran Kewajipan, USJ 1, 47600 Subang Jaya, Selangor",3.0592,101.5933
"Jalan Jalan Japan AEON Mall Bukit Raja","Level 1, AEON Mall Bukit Raja, Persiaran Bukit Raja 2, Bandar Baru Klang, 41150 Klang, Selangor",3.0569,101.4705
"Jalan Jalan Japan M3 Shopping Mall","Level 2, M3 Shopping Mall, Jalan 5/22a, Taman Melati, 53100 Kuala Lumpur",3.2260,101.7247
"Jalan Jalan Japan MesaMall","Level 2, MesaMall, Persiaran Ilmu, BBN 3, 71800 Nilai, Negeri Sembilan",2.8122,101.7774
"Jalan Jalan Japan CentrePoint Seremban","Level 2, CentrePoint Seremban, Jalan Liew Weng Chee, 70200 Seremban, Negeri Sembilan",2.7307,101.9392
"Family Bundle Petaling Street","58, Jalan Petaling, City Centre, 50000 Kuala Lumpur",3.1437,101.6973
"Family Bundle Pudu","430, Jalan Pudu, Pudu, 55100 Kuala Lumpur",3.1368,101.7121
"Family Bundle Ampang Waterfront","1, 2 & 3, Jalan AWF 1, Ampang Waterfront, 68000 Ampang, Selangor",3.1444,101.7656
"Family Bundle Bandar Baru Ampang","17, Jalan Wawasan 2/3, Bandar Baru Ampang, 68000 Ampang, Selangor",3.1481,101.7612
"Family Bundle Setiawangsa","Lot 1, Ground Floor, Dewan Sri Iskandar, 13, Jalan Setiawangsa 13, Taman Setiawangsa, 54200 Kuala Lumpur",3.1818,101.7479
"Family Bundle Taman Permata","2770, Jalan Changkat Permata, Taman Permata, 53300 Kuala Lumpur",3.2081,101.7516
"Family Bundle Bandar Sunway","23, Jalan PJS 10/32, Taman Seri Subang, 46000 Petaling Jaya, Selangor",3.0762,101.6062
"Family Bundle Batu Caves","No. 25, Jalan SBC 8, Taman Sri Batu Caves, 68100 Batu Caves, Selangor",3.2356,101.6997
"Family Bundle Kota Raya","Level 1, Kompleks Kota Raya, Jalan Tun Tan Cheng Lock, 50000 Kuala Lumpur",3.1450,101.6970
"Family Bundle Jalan Pasar","32A, Jalan Pasar, Pudu, 55100 Kuala Lumpur",3.1388,101.7144
